Climate Bonds Initiative - Region, country : 2018 Green | 2018 | Amount Issued | Global

Country,USD
"GERMANY",7617276094
"SWITZERLAND",324514576
"NORWAY",3473049364
"ICELAND",233210000
"SPAIN",4999935368
"FRANCE",14744635297
"URUGUAY",108400000
"UK",3767049460
"ARGENTINA",100000000
"THAILAND",213000000
"PHILIPPINES",150000000
"AUSTRALIA",3645244112
"LITHUANIA",376240000
"NAMIBIA",4809718
"SLOVENIA",85080000
"TAIWAN",446696200
"MEXICO",1145850000
"SUPRANATIONAL",12055969420
"DENMARK",876524992
"CANADA",4285075760
"NETHERLANDS",8286248690
"AUSTRIA",711500015
"BELGIUM",6252889856
"ITALY",2385990020
"MALAYSIA",223196095
"HONG KONG",2691876930
"SOUTH KOREA",2076913696
"BRITISH VIRGIN ISLANDS",580000000
"INDONESIA",1545000000
"LUXEMBOURG",997760000
"CHILE",100000000
"PERU",30006600
"INDIA",700000000
"COLOMBIA",152282832
"FIJI",19034749
"SOUTH AFRICA",93107300
"SWEDEN",6413008130
"JAPAN",4173727236
"LEBANON",60000000
"IRELAND",3459000064
"POLAND",1244199936
"SINGAPORE",1191448071
"NEW ZEALAND",272710032
"PORTUGAL",695100032
"BRAZIL",219537244
"SEYCHELLES",15000000
"CHINA",31057621344
"USA",34627415729
"MOROCCO",37985000
"FINLAND",113880000
