Climate Bonds Initiative - Region, country : 2017 Green | 2017 | Amount Issued | Global

Country,USD
"COLOMBIA",215703472
"NORWAY",669954560
"CHILE",500000000
"SINGAPORE",571320000
"NIGERIA",29720000
"SOUTH AFRICA",77229000
"FRANCE",25358124421
"AUSTRALIA",2516928592
"UAE",587000000
"LITHUANIA",342270016
"MOROCCO",150876000
"PHILIPPINES",150000000
"FINLAND",743358484
"GERMANY",9956358128
"SLOVENIA",14709800
"BRAZIL",2036761811
"JAPAN",2238019952
"TAIWAN",171654000
"UK",2221929936
"AUSTRIA",363012900
"DENMARK",2033800000
"CHINA",22103161637
"NETHERLANDS",5001696580
"SUPRANATIONAL",9540280094
"CAYMAN ISLANDS",700000000
"HONG KONG",858511728
"SWITZERLAND",741493000
"SOUTH KOREA",650115200
"USA",44352235141
"ITALY",3384122408
"SWEDEN",4902407908
"FIJI",28691800
"NEW ZEALAND",847995208
"SPAIN",4702892132
"LATVIA",23692000
"POLAND",154000000
"MALAYSIA",464190000
"CANADA",4378959200
"ARGENTINA",537062528
"INDIA",4279300024
