Climate Bonds Initiative - Region, country : 2020 Green | 2020 | Amount Issued | Global

Country,USD
"GREECE",665452984
"AUSTRALIA",2013137434
"BELGIUM",3811723600
"THAILAND",758916364
"KAZAKHSTAN",474000
"GERMANY",42410697843
"IRELAND",2709420736
"LITHUANIA",52932400
"NEW ZEALAND",644399168
"FRANCE",39048301017
"UK",4777701613
"DENMARK",2310110785
"COLOMBIA",158999460
"SPAIN",9253679368
"CHINA",23750939434
"SWEDEN",13326076080
"SOUTH KOREA",1775860728
"TURKEY",50000000
"USA",51415496675
"VIETNAM",300433336
"SWITZERLAND",1777198208
"ITALY",4533324352
"HONG KONG",2082927910
"CANADA",10054736758
"QATAR",600000000
"TAIWAN",1142723500
"PORTUGAL",2558890468
"UAE",528370896
"NETHERLANDS",18331105652
"SAUDI ARABIA",1300000000
"BERMUDA",1110000000
"SINGAPORE",4898652124
"PANAMA",287644000
"BRAZIL",2439547352
"PERU",200000000
"FINLAND",3308922420
"MALAYSIA",208251600
"MEXICO",1257235738
"GHANA",41513500
"GEORGIA",250000000
"SUPRANATIONAL",13838330284
"ARGENTINA",50021895
"INDIA",1093773678
"AUSTRIA",1707724400
"GUERNSEY",469000000
"ICELAND",439478298
"HUNGARY",2196793308
"ARMENIA",50000000
"RUSSIA",481671600
"CHILE",5361168448
"INDONESIA",1631523488
"JAPAN",9485723740
"NORWAY",6259398966
"EGYPT",750000000
"SOUTH AFRICA",425000000
"LUXEMBOURG",2176850340
"PHILIPPINES",419137896
