Climate Bonds Initiative - Region, country : 2021 Green | 2021 | Amount Issued | Global

Country,USD
"QATAR",635572928
"RUSSIA",1603369662
"VIETNAM",1025500000
"ARGENTINA",479546454
"UAE",648109448
"BRITISH VIRGIN ISLANDS",200000000
"IRELAND",4596647088
"ICELAND",1055617984
"COLOMBIA",428042848
"SOUTH AFRICA",71057023
"SPAIN",19630643110
"INDIA",6815508058
"SINGAPORE",12672287653
"NEW ZEALAND",1280128120
"UK",35893534788
"AUSTRALIA",5221066216
"JERSEY",780495008
"MEXICO",526645948
"ISRAEL",1000000000
"LATVIA",176945000
"THAILAND",926183904
"SWITZERLAND",3689456272
"POLAND",1835384448
"INDONESIA",845042520
"USA",91325921206
"GUATEMALA",700000000
"PORTUGAL",2743024032
"NORWAY",13692139397
"MALAYSIA",143785517
"LUXEMBOURG",6973020148
"PHILIPPINES",502550000
"CHILE",4193600000
"FINLAND",3896097870
"BRAZIL",2534682908
"NETHERLANDS",28459428632
"MAURITIUS",334000000
"UKRAINE",825000000
"TURKEY",1189929984
"CANADA",12543424528
"GREECE",1182400000
"GERMANY",62461612885
"SWEDEN",16281984737
"CHINA",70237994997
"HONG KONG",10781711956
"BARBADOS",7000000
"SERBIA",1171500032
"SOUTH KOREA",13156403712
"ROMANIA",117191920
"SUPRANATIONAL",31428671100
"DENMARK",8002177294
"GEORGIA",500000000
"CZECHIA",1015824992
"ITALY",25359642520
"AUSTRIA",2726605886
"SLOVAKIA",156528456
"LITHUANIA",28272500
"JAPAN",14999055762
"HUNGARY",971192596
"PAKISTAN",500000000
"TAIWAN",767280600
"BELGIUM",4328997136
"FRANCE",44135756148
