Climate Bonds Initiative - Region, country : 2016 Green | 2016 | Amount Issued | Global

Country,USD
"COLOMBIA",115206000
"VIETNAM",27016044
"MOROCCO",166970000
"BRAZIL",856680000
"SWITZERLAND",816250048
"SWEDEN",3266425178
"HONG KONG",1205546000
"NORWAY",622900000
"FRANCE",5543964655
"FINLAND",500000000
"INDIA",1571195600
"JAPAN",597780000
"SUPRANATIONAL",10197818809
"NETHERLANDS",7541110248
"AUSTRALIA",624939984
"IRELAND",10892000
"GERMANY",5020425048
"ITALY",406724992
"SPAIN",994485816
"COSTA RICA",500000000
"LUXEMBOURG",267824992
"CANADA",537065084
"LATVIA",28447500
"PHILIPPINES",225737904
"NEW ZEALAND",100527392
"SOUTH KOREA",900000000
"CHINA",21210650511
"USA",20270888902
"POLAND",779100032
"MEXICO",156680000
